"quest","quest_label","domain","item_no","item_code","item_id","item_text_ar","item_text_en","relevance_score","clarity_score","cultural_fit_score","reviewer_id","comments"
2,"2-month","Communication",1,"c1","q2_c1","١. هل يصدر طفلك في بعض الأوقات أصواتًا من الحنجرة كصوت البحة أو الغرغرة؟","1. Does your child sometimes make throat sounds such as a hoarse or gurgling sound?",NA,NA,NA,NA,NA
2,"2-month","Communication",2,"c2","q2_c2","٢. هل يناغي طفلك بأصواتٍ مثل اغووو، أو اووو، أو آهه؟","2. Does your baby coo with sounds like “ooooo,” “aww,” or “ahhh”?",NA,NA,NA,NA,NA
2,"2-month","Communication",3,"c3","q2_c3","٣. هل يصدر طفلك أصواتًا لك عندما تكلمه؟","3. Does your child make noises when you talk to him?",NA,NA,NA,NA,NA
2,"2-month","Communication",4,"c4","q2_c4","٤. هل يبتسم طفلك عندما تكلمه؟","4. Does your child smile when you talk to him?",NA,NA,NA,NA,NA
2,"2-month","Communication",5,"c5","q2_c5","٥. هل يضحك طفلك بصوت خافت؟","5. Does your child laugh faintly?",NA,NA,NA,NA,NA
2,"2-month","Communication",6,"c6","q2_c6","٦. بعد أن تغيب عن نظره لفترة، هل يبتسم طفلك أو يبدي فرحًا لرؤيتك؟","6. After you've been out of sight for a while, does your child smile or show joy at seeing you?",NA,NA,NA,NA,NA
2,"2-month","Gross motor",1,"gm1","q2_gm1","١. عندما يكون طفلك مستلقيًا على ظهره، هل يلوح بذراعيه وساقيه، ويلوي بجسمه؟","1. When your baby is lying on his back, does he wave his arms and legs, and twist his body?",NA,NA,NA,NA,NA
2,"2-month","Gross motor",2,"gm2","q2_gm2","٢. عندما يكون طفلك مستلقيًا على بطنه، هل يدير رأسه إلى الجنب؟","2. When your baby is lying on his stomach, does he turn his head to the side?",NA,NA,NA,NA,NA
2,"2-month","Gross motor",3,"gm3","q2_gm3","٣. عندما يكون طفلك مستلقيًا على بطنه، هل يبقي رأسه مرفوعًا إلى الأعلى لبضع ثوانٍ؟","3. When your baby is lying on his stomach, does he keep his head up for a few seconds?",NA,NA,NA,NA,NA
2,"2-month","Gross motor",4,"gm4","q2_gm4","٤. عندما يكون طفلك مستلقيًا على ظهره، هل يرفس برجليه؟","4. When your baby is lying on his back, does he kick his legs?",NA,NA,NA,NA,NA
2,"2-month","Gross motor",5,"gm5","q2_gm5","٥. عندما يكون طفلك مستلقيًا على ظهره، هل يدير رأسه من جنب إلى آخر؟","5. When your baby is lying on his back, does he turn his head from side to side?",NA,NA,NA,NA,NA
2,"2-month","Gross motor",6,"gm6","q2_gm6","٦. بعد أن يرفع طفلك رأسه إلى الأعلى أثناء استلقائه على بطنه، هل يرجع رأسه إلى الأرض بدرجة من التحكم بدلً من أن يتركه ليسقط؟","6. After your baby holds his head up while lying on his tummy, does he return his head to the floor with some control rather than letting it fall?",NA,NA,NA,NA,NA
2,"2-month","Fine motor",1,"fm1","q2_fm1","١. عندما يكون طفلك مستيقظًا، هل تكون يده مقبوضة بإحكام في العادة؟","1. When your child is awake, is his hand usually clenched tightly?",NA,NA,NA,NA,NA
2,"2-month","Fine motor",2,"fm2","q2_fm2","٢. هل يقبض طفلك على إصبعك عندما تلمس راحة يده؟هل يلمس طفلك وجهه بيديه؟","2. Does your child grasp your finger when you touch his palm? Does your child touch his face with his hands?",NA,NA,NA,NA,NA
2,"2-month","Fine motor",3,"fm3","q2_fm3","٣. عندما تضع لعبة في يد طفلك، هل يمسك بها لفترة قصيرة؟","3. When you place a toy in your child's hand, does he hold it for a short time?",NA,NA,NA,NA,NA
2,"2-month","Fine motor",4,"fm4","q2_fm4","٤. هل يلمس طفلك وجهه بيديه؟","4. Does your child touch his face with his hands?",NA,NA,NA,NA,NA
2,"2-month","Fine motor",5,"fm5","q2_fm5","٥. هل يُبقي طفلك يديه مفتوحتين جزئيًا أو بالكامل عندما يكون مستيقظًا؟","5. Does your child keep his hands partially or fully open when awake?",NA,NA,NA,NA,NA
2,"2-month","Fine motor",6,"fm6","q2_fm6","٦. هل يمسك طفلك بملابسه أو يخدشها بأصابعه؟","6. Does your child grab his clothes or scratch them with his fingers?",NA,NA,NA,NA,NA
2,"2-month","Problem-solving",1,"cg1","q2_cg1","١. هل ينظر طفلك إلى الأشياء التي تبعد عنه مسافة 8 إلى 10 بوصات / 20 إلى 25 سم؟","1. Does your child look at objects 8 to 10 inches/20 to 25 cm away?",NA,NA,NA,NA,NA
2,"2-month","Problem-solving",2,"cg2","q2_cg2","٢. هل يتتبع طفلك حركتك من مكانك بعينيه؟","2. Does your child track your movement from where you are with his eyes?",NA,NA,NA,NA,NA
2,"2-month","Problem-solving",3,"cg3","q2_cg3","٣. حينما تحرك لعبة أمام طفلك من جهة لأخرى (على بعد 10 بوصات / 25 سم تقريبًا)، هل يتتبع طفلك حركة اللعبة بعينيه، أو بتحريك رأسه أحيانًا؟","3. When you move a toy in front of your baby from side to side (about 10 inches/25 cm away), does your baby track the toy's movement with his eyes, or sometimes by moving his head?",NA,NA,NA,NA,NA
2,"2-month","Problem-solving",4,"cg4","q2_cg4","٤. حينما تحرك لعبة أمام طفلك للأعلى والأسفل (على بعد 10 بوصات / 25 سم تقريبًا)، هل يتتبع طفلك حركة اللعبة بعينيه؟","4. When you move a toy up and down in front of your child (about 10 inches/25 cm away), does your child track the toy's movement with his eyes?",NA,NA,NA,NA,NA
2,"2-month","Problem-solving",5,"cg5","q2_cg5","٥. عندما تمسك بطفلك في وضعية الجلوس، هل ينظر إلى لعبة بحجم كوب أو خشخيشة تضعها على طاولة أمامه أو على الأرض؟","5. When you hold your baby in a sitting position, does he look at a cup-sized toy or rattle that you place on a table in front of him or on the floor?",NA,NA,NA,NA,NA
2,"2-month","Problem-solving",6,"cg6","q2_cg6","٦. عندما يكون طفلك مستلقيًا على ظهره، وتقوم أنت بتحريك لعبة فوقه، هل يمد طفلك يديه نحو اللعبة؟","6. When your baby is lying on his back and you move a toy over him, does your baby extend his hands toward the toy?",NA,NA,NA,NA,NA
2,"2-month","Personal-social",1,"ps1","q2_ps1","١. هل يحاول طفلك في بعض الأوقات مص الأشياء، حتى وإن لم يكن جائعًا؟","1. Does your baby sometimes try to suck on things, even if he's not hungry?",NA,NA,NA,NA,NA
2,"2-month","Personal-social",2,"ps2","q2_ps2","٢. هل يبكي طفلك عندما يكون جائعًا أو مبللً أو متعبًا أو عندما يريد أن يُحمل؟","2. Does your baby cry when he is hungry, wet, tired or when he wants to be held?",NA,NA,NA,NA,NA
2,"2-month","Personal-social",3,"ps3","q2_ps3","٣. هل يبتسم لك طفلك؟","3. Does your child smile at you?",NA,NA,NA,NA,NA
2,"2-month","Personal-social",4,"ps4","q2_ps4","٤. عندما تبتسم لطفلك، هل يبتسم لك؟","4. When you smile at your child, does he smile back at you?",NA,NA,NA,NA,NA
2,"2-month","Personal-social",5,"ps5","q2_ps5","٥. هل ينظر طفلك إلى يديه؟","5. Does your child look at his hands?",NA,NA,NA,NA,NA
2,"2-month","Personal-social",6,"ps6","q2_ps6","٦. عندما يرى طفلك زجاجة الحليب أو الثدي ، هل يظهر معرفته أنه على وشك أن يتغذى؟","6. When your baby sees a bottle or breast, does he show knowledge that he is about to be fed?",NA,NA,NA,NA,NA
4,"4-month","Communication",1,"c1","q4_c1","١. هل يضحك طفلك بصوت خافت؟","1. Does your child laugh faintly?",NA,NA,NA,NA,NA
4,"4-month","Communication",2,"c2","q4_c2","٢. بعد أن تغيب عن نظره لفترة، هل يبتسم طفلك أو يبدي فرحًا لرؤيتك؟","2. After you've been out of sight for a while, does your child smile or show joy at seeing you?",NA,NA,NA,NA,NA
4,"4-month","Communication",3,"c3","q4_c3","٣. هل يتوقف طفلك عن البكاء عندما يسمع صوتًا غير صوتك؟","3. Does your baby stop crying when he hears a voice other than yours?",NA,NA,NA,NA,NA
4,"4-month","Communication",4,"c4","q4_c4","٤. هل يناغي طفلك بصوت عالٍ؟","4. Does your child babble loudly?",NA,NA,NA,NA,NA
4,"4-month","Communication",5,"c5","q4_c5","٥. هل يضحك طفلك؟","5. Does your child laugh?",NA,NA,NA,NA,NA
4,"4-month","Communication",6,"c6","q4_c6","٦. هل يطلق طفلك أصواتًا عند النظر إلى الناس أو الألعاب؟","6. Does your child make noises when looking at people or toys?",NA,NA,NA,NA,NA
4,"4-month","Gross motor",1,"gm1","q4_gm1","١. عندما يكون طفلك مستلقيًا على ظهره، هل يدير رأسه من جنب إلى آخر؟","1. When your baby is lying on his back, does he turn his head from side to side?",NA,NA,NA,NA,NA
4,"4-month","Gross motor",2,"gm2","q4_gm2","٢. بعد أن يرفع طفلك رأسه إلى الأعلى أثناء استلقائه على بطنه، هل يرجع رأسه إلى الأرض بدرجة من التحكم بدلً من أن يتركه ليسقط؟","2. After your baby holds his head up while lying on his tummy, does he return his head to the floor with some control rather than letting it fall?",NA,NA,NA,NA,NA
