item_text_ar,item_text_en_ai
المعلومات العامة Explain,General information Explain
المعلومات العامة Score,General information Score
١. إذا أراد طفلك شيئًا ما، فهل يخبرك عنه من خلال الإشارة إليه؟,"1. If your child wants something, does he tell you about it by pointing to it?"
١. إذا أشرت إلى صورة كرة (أو قطة أو قبعة أو كوب)، ومن ثم سألت طفلك “ما هذه الصورة؟” فهل يسمّي طفلك شيئًا واحدًا على الأقل بنجاح؟,"1. If you point to a picture of a ball (or a cat, or a hat, or a cup), and then ask your child, “What picture is this?” Does your child name at least one object successfully?"
١. إذا وضعت لعبة صغيرة في وعاء أو صندوق، هل يقلدك طفلك بوضع لعبة، حتى إن لم يفلتها ويتركها تقع؟,"1. If you put a small toy in a bowl or box, does your child imitate you by putting the toy away, even if he doesn't release it and let it fall?"
١. استخدم صورة تحتل صفحة كاملة من مجلة وقصها إلى ستة أجزاء مختلفة الأشكال، أو يمكنك استخدام أحجية مكوّنة من خمس إلى سبع قطع. هل يستطيع طفلك تجميع القطع بشكل صحيح؟,"1. Use a full-page picture from a magazine and cut it into six different shaped pieces, or you can use a puzzle with five to seven pieces. Can your child assemble the pieces correctly?"
١. اطلب من طفلك دون أن تساعده بإشارة أو تلميح:“ ضع الكتاب على الطاولة” وَ “ضع الحذاء تحت الكرسي”. هل ينفذ طفلك الأوامر المطلوبة منه بطريقة صحيحة؟,"1. Ask your child, without helping him with a gesture or hint: “Put the book on the table” and “Put the shoes under the chair.” Does your child carry out the commands required of him correctly?"
١. بعد أن يشاهدك طفلك ترسم خطًا من أعلى الصحفة إلى أسفلها، هل يقلدك برسم خط على الصفحة بأي اتجاه كان مستخدمًا قلم تلوين أو قلم رصاص أو حبر؟,"1. After your child watches you draw a line from the top of the page to the bottom, does he or she imitate you by drawing a line on the page in any direction with a crayon, pencil, or ink?"
١. بعد أن يشاهدك طفلك ترسم خطًا من أعلى الصفحة إلى أسفلها مستخدمًا قلم تلوين أو قلم رصاص أو حبر، اطلب منه أن يرسم خطًا مشابهًا للذي رسمت. لا تجعله يرسم فوق خطك. هل يستطيع طفلك رىسم خط عمودي؟,"1. After your child watches you draw a line from the top to the bottom of the page using a crayon, pencil, or ink, ask him to draw a line similar to the one you drew. Don't let him draw over your line. Can your child draw a vertical line?"
١. بعد أن يشاهدك طفلك ترسم دائرة. اطلب منه أن يرسم دائرة كالتي رسمت فوقها. هل يقلدك طفلك برسم دائرة؟,1. After your child watches you draw a circle. Ask him to draw a circle like the one drawn above it. Does your child imitate you by drawing a circle?
١. بعد محاولة أو اثنتين، هل يلتقط طفلك خيطًا مستخدمًا السبابة والإبهام معًا؟,"1. After one or two attempts, does your child pick up a string using both his index finger and thumb?"
١. بعدما يكون طفلك واقفًا ومستندًا على قطعة أثاث، هل ينحني إلى الأسفل ليلتقط لعبة من الأرض ثم يعود إلى وضعية الوقوف؟,"1. After your child is standing and leaning on a piece of furniture, does he bend down to pick up a toy from the floor and then return to a standing position?"
١. بينما ينظر طفلك إلى المرآة، هل يحاول أن يناول اللعبة التي بين يديه لانعكاس صورته في المرآة؟,"1. While your child looks in the mirror, does he try to pass the toy in his hands to his reflection in the mirror?"
١. حينما تحرك لعبة أمام طفلك من جهة لأخرى (على بعد 10 بوصات / 25 سم تقريبًا)، هل يتتبع طفلك حركة اللعبة بعينيه، أو بتحريك رأسه أحيانًا؟,"1. When you move a toy in front of your baby from side to side (about 10 inches/25 cm away), does your baby track the toy's movement with his eyes, or sometimes by moving his head?"
١. عندما تخربش على ورقة بقلم تلوين أو قلم رصاص أو حبر، هل يقلد طفلك خربشتك؟,"1. When you scribble on a sheet of paper with crayon, pencil, or ink, does your child imitate your scribbling?"
١. عندما تري طفلك أشياء محسوسة وتسأله، “ما لون هذا الشيء؟” هل يُسمي خمسة ألوان مختلفة: كالأحمر، و الأزرق، و الأصفر، و البرتقالي، و الأسود، و الأبيض، و الوردي؟,"1. When you show your child tangible objects and ask, “What color is this object?” Does he name five different colors: red, blue, yellow, orange, black, white, and pink?"
١. عندما تشير بإصبعك إلى الصورة المعطاة وتسأل طفلك “ما هذا”؟ هل يجيبك بكلمة تدل على شخص أو ما شابه؟,1. When you point your finger at the given picture and ask your child “What is this”? Does he answer you with a word that refers to a person or something similar?
١. عندما تضع طفلك على الأرض، هل يتكئ على يديه عند الجلوس؟,"1. When you place your baby on the floor, does he lean on his hands when sitting?"
١. عندما تطلب من طفلك أن يشير إلى أنفه، أو عينيه ، أو شعره، أو قدميه، أو أذنيه أو غيرها من أجزاء الجسم، هل يستطيع طفلك الإشارة إلى سبعة أجزاء على الأقل بطريقة صحيحة؟,"1. When you ask your child to point to his nose, eyes, hair, feet, ears or other body parts, can your child point to at least seven parts correctly?"
١. عندما تقول لطفلك:“ قل خمسة، ثمانية، ثلاثة”، هل يُعيد عليك الأرقام الثلاث بنفس الترتيب؟ لا تكرر عليه الأرقام مرة أخرى.,"1. When you say to your child: “Say five, eight, three,” does he repeat the three numbers to you in the same order? Don't repeat the numbers again."
١. عندما تكون هناك لعبة أمام طفلك، هل يحاول أن يصل إليها بكلتا يديه؟,"1. When there is a toy in front of your child, does he try to reach it with both hands?"
١. عندما تمد يدك وتطلب من طفلك أن يعطيك لعبته، هل يعطيك إياها حتى وإن لم يفلتها؟,"1. When you reach out and ask your child to give you his toy, does he give it to you even if he doesn't let go?"
١. عندما تمسك بكلتا يدي طفلك لتساعده على التوازن أثناء الوقوف، هل يقف دون اهتزاز؟,"1. When you hold your child in both hands to help him balance while standing, does he stand without shaking?"
